,2025-01-31
VUN CN Equity,24.3419
VYMI US Equity,1.1631
IQLT US Equity,0
IJS US Equity,-22.258
ONEQ US Equity,34.7657
CIBR US Equity,96.63230000000001
XMWO GR Equity,1.3358
SX5EEX GR Equity,0
IWRD LN Equity,0
PRF US Equity,1.2691
BBCA US Equity,39.9461
SCHH US Equity,-28.6305
DUHP US Equity,52.320899999999995
DFAI US Equity,60.8456
DFIC US Equity,58.9055
DFAU US Equity,37.6336
SPLV US Equity,47.1997
VLUE US Equity,-0.3060000000000027
ACWIU SW Equity,-5.066
AVEM US Equity,8.7789
DAXEX GR Equity,-14.1158
DFAX US Equity,0
FXI US Equity,-33.4477
SXXPIEX GR Equity,0.483
XLRE US Equity,23.0944
VIGI US Equity,0.3332
DBEF US Equity,25.849
IVV AU Equity,20.4628
LCUW GR Equity,-110.27869999999999
VDEV LN Equity,4.847499999999999
IUSE LN Equity,52.775
VDC US Equity,-3.2547
500 FP Equity,49.4571
EZU US Equity,80.4427
XMUS GR Equity,-2.2383
XEF CN Equity,41.165800000000004
VPU US Equity,-20.889599999999998
SPYD US Equity,13.629899999999907
VPL US Equity,0.0257
FDN US Equity,49.96639999999998
VCR US Equity,-7.7768
00929 TT Equity,0
UTNIFTY IN Equity,2.1905
IJT US Equity,-28.1164
ZCN CN Equity,163.24139999999997
JGLO US Equity,0
ITA US Equity,-38.8417
MGC US Equity,0
JIRE US Equity,-21.4812
IOO US Equity,0
AVDV US Equity,73.7194
S500 FP Equity,-99.70940000000002
ARKK US Equity,-10.741099999999989
VGS AU Equity,0
IBB US Equity,48.1829
VUKE LN Equity,8.7205
XUS CN Equity,33.7833
XMHQ US Equity,22.5515
UIMM GR Equity,0.9163999999999999
513050 CH Equity,0
XBI US Equity,-90.7414
BUFR US Equity,15.500799999999998
FNDE US Equity,0
SMSWLD GR Equity,6.3292
PBUS US Equity,6.079
ZEA CN Equity,10.9222
006208 TT Equity,0
VCN CN Equity,19.0409
IGM US Equity,0
EEUD LN Equity,-28.377499999999998
XMME GR Equity,0.1024
VIS US Equity,-10.6478
SUAS LN Equity,-109.0825
LYYB GR Equity,13.0393
VHYD LN Equity,-3.9603
CSEMU SW Equity,4.9982999999999995
HEFA US Equity,39.8793
AEME FP Equity,0
AVLV US Equity,96.66380000000001
SMSUSA GR Equity,-6.8427999999999995
PABH FP Equity,-1.7556
JQUA US Equity,92.1107
VONE US Equity,70.4043
AVDE US Equity,0
SJPA LN Equity,-0.4927
UST FP Equity,29.1849
159845 CH Equity,115.7494
IXN US Equity,0
KWEB US Equity,104.958
EWT US Equity,0
AHYQ GR Equity,0
VOOV US Equity,7.6242
EEDM LN Equity,0
CW8 FP Equity,26.0338
1593 JP Equity,0.09029999999999999
360750 KS Equity,0
IGF US Equity,101.29390000000001
GUNR US Equity,-154.00209999999998
513330 CH Equity,-3.9173
MGOC AU Equity,0
UTISENX IN Equity,1.3688
R2US LN Equity,19.7358
3033 HK Equity,-45.412499999999994
EEWD LN Equity,1.887
XDAX GR Equity,-22.937500000000004
EFAV US Equity,0
WSML LN Equity,11.6438
NDIA LN Equity,0
OMFL US Equity,-7.9134
CGGO US Equity,49.3275
XLB US Equity,-44.508700000000005
IHI US Equity,-22.5437
SPY4 LN Equity,83.6058
NDXEX GR Equity,10.1346
512880 CH Equity,27.3943
MCHI US Equity,0
PPA US Equity,18.1266
DSI US Equity,-89.69529999999999
BBIN US Equity,0
XMEU GR Equity,-1.9569
ACWX US Equity,0
GDXJ US Equity,-11.7112
DFAE US Equity,0
KRE US Equity,249.49910000000006
SPPY GR Equity,-59.6416
SAWD LN Equity,-16.707600000000003
XMAW GR Equity,-2.3604
JGRO US Equity,66.39359999999999
IEEM LN Equity,0
