,2025-02-07
588080 CH Equity,8057.47409
VUN CN Equity,8004.59859
VYMI US Equity,8114.0603
IQLT US Equity,7904.1981
IJS US Equity,7512.9831
ONEQ US Equity,7702.613
CIBR US Equity,8367.4271
XMWO GR Equity,7879.87177
SX5EEX GR Equity,7829.75672
IWRD LN Equity,7806.27016
PRF US Equity,7660.5222
BBCA US Equity,7732.9015
SCHH US Equity,7501.2902
DUHP US Equity,7680.2465
DFAI US Equity,7912.3976
DFIC US Equity,7675.7869
DFAU US Equity,7423.9615
SPLV US Equity,7385.6062
VLUE US Equity,7211.1511
ACWIU SW Equity,7493.4625
AVEM US Equity,7378.688
DAXEX GR Equity,7378.69741
DFAX US Equity,7349.6429
FXI US Equity,7513.3801
SXXPIEX GR Equity,7341.48283
XLRE US Equity,7228.2928
VIGI US Equity,7228.6135
DBEF US Equity,7428.4594
IVV AU Equity,7247.79367
LCUW GR Equity,6910.34165
VDEV LN Equity,7253.879
IUSE LN Equity,7013.48975
VDC US Equity,7199.8668
500 FP Equity,6914.44399
EZU US Equity,7348.1656
XMUS GR Equity,6778.81244
XEF CN Equity,7117.01632
VPU US Equity,6655.0813
SPYD US Equity,6766.2718
VPL US Equity,6928.1823
FDN US Equity,7303.3887
VCR US Equity,6650.3213
00929 TT Equity,6691.01226
UTNIFTY IN Equity,6638.3179
IJT US Equity,6643.8191
ZCN CN Equity,7020.31545
JGLO US Equity,6652.8863
ITA US Equity,6673.7914
MGC US Equity,6688.1713
JIRE US Equity,6779.1666
IOO US Equity,6610.4154
AVDV US Equity,6975.2413
S500 FP Equity,6269.4293
ARKK US Equity,6758.161
VGS AU Equity,6426.17441
IBB US Equity,6469.534
VUKE LN Equity,6550.63157
XUS CN Equity,6320.04682
XMHQ US Equity,6198.0853
UIMM GR Equity,6161.21324
513050 CH Equity,6282.96277
XBI US Equity,6011.0362
BUFR US Equity,6367.5835
FNDE US Equity,6366.9806
SMSWLD GR Equity,6308.47067
PBUS US Equity,6146.2762
ZEA CN Equity,6216.17557
006208 TT Equity,6262.2382
VCN CN Equity,6078.58222
IGM US Equity,6022.2219
EEUD LN Equity,6086.47831
XMME GR Equity,6027.11422
VIS US Equity,5759.9723
SUAS LN Equity,5544.5794
LYYB GR Equity,6005.91395
VHYD LN Equity,5993.3903
CSEMU SW Equity,5967.14122
HEFA US Equity,6069.7588
AEME FP Equity,5848.4864
AVLV US Equity,5681.8156
SMSUSA GR Equity,5519.35257
PABH FP Equity,5618.19098
JQUA US Equity,5865.3864
VONE US Equity,5560.4188
AVDE US Equity,5634.0588
SJPA LN Equity,5825.69316
UST FP Equity,5522.90599
159845 CH Equity,5432.97893
IXN US Equity,5309.2802
KWEB US Equity,6438.8483
EWT US Equity,5296.3147
AHYQ GR Equity,5430.66879
VOOV US Equity,5325.3694
EEDM LN Equity,5347.0633
CW8 FP Equity,5488.96471
1593 JP Equity,5423.9204
360750 KS Equity,5468.62214
IGF US Equity,5327.8368
GUNR US Equity,4947.937
513330 CH Equity,5206.64063
MGOC AU Equity,5198.16538
UTISENX IN Equity,5021.63844
R2US LN Equity,5135.4984
3033 HK Equity,5297.93684
EEWD LN Equity,5113.9194
XDAX GR Equity,5276.46966
EFAV US Equity,5019.5848
WSML LN Equity,5130.4713
NDIA LN Equity,5157.2503
OMFL US Equity,5009.7297
CGGO US Equity,5271.6026
XLB US Equity,5689.1046
IHI US Equity,5107.3559
SPY4 LN Equity,5098.394
NDXEX GR Equity,5102.82185
512880 CH Equity,5010.71085
MCHI US Equity,5352.4338
PPA US Equity,4861.6125
DSI US Equity,4697.6595
BBIN US Equity,5006.6981
XMEU GR Equity,5064.32048
ACWX US Equity,4962.1093
GDXJ US Equity,5055.9287
DFAE US Equity,5069.8517
KRE US Equity,5267.7966
SPPY GR Equity,4699.75661
SAWD LN Equity,4862.3797
XMAW GR Equity,4808.20915
JGRO US Equity,4908.032
IEEM LN Equity,4793.41875
CEU2 FP Equity,4948.13296
FDL US Equity,4727.9398
CGUS US Equity,4894.2106
XDWT GR Equity,4719.94007
DLN US Equity,4651.4443
BBAX US Equity,4685.8298
CSSX5E SW Equity,4687.07608
00940 TT Equity,4558.4714
FDVV US Equity,4688.9617
EWSP NA Equity,4836.935
VOX US Equity,4891.6888
XMMO US Equity,4679.582
FELC US Equity,4471.384045
URTH US Equity,4452.2338
DFEM US Equity,4618.3953
QUAL AU Equity,4629.03601
SPMO US Equity,5127.6345
XEQT CN Equity,4616.03242
EMMUSA SW Equity,4540.3049
XAIX GR Equity,4747.43783
VEUR LN Equity,4583.80868
DFSV US Equity,4370.6666
ACWD LN Equity,4541.6641
BBUS US Equity,4414.0634
RWL US Equity,4956.5478
VEQT CN Equity,4435.08987
IUSK GR Equity,4383.32058
ESGE US Equity,4442.9502
CPSEBE IN Equity,4321.9793
A200 AU Equity,4397.57059
JHMM US Equity,4207.5822
EUN2 GR Equity,4423.63508
NBEES IN Equity,4503.29612
MWSH GR Equity,4150.7387
AWESGS SW Equity,4287.5098
IOZ AU Equity,4308.49804
SAEM LN Equity,4435.0922
EMUEUA GR Equity,4613.42811
CAC FP Equity,4304.20372
IWQU LN Equity,4189.5814
SCHK US Equity,4114.7194
CHDVD SW Equity,4421.2612
SLYV US Equity,3936.7732
IEUR US Equity,4157.6101
CHSPI SW Equity,4295.95154
LCUJ GR Equity,4251.34389
FBCG US Equity,4131.3326
JPNCHA SW Equity,4100.01818
VSGX US Equity,4090.779
EEMV US Equity,4085.7272
SPGP US Equity,3735.442
QTEC US Equity,3964.6447
ACWV US Equity,4112.9864
MWOE GR Equity,4399.46393
CBMEM SW Equity,3879.003
FV US Equity,3989.385
512170 CH Equity,3972.3638
069500 KS Equity,4054.06974
SCHC US Equity,4032.9177
DIVO US Equity,4068.4263
IDV US Equity,3998.5945
IYF US Equity,3985.2729
DON US Equity,3800.653
NDQ AU Equity,3956.96189
SUSA US Equity,3772.9753
159995 CH Equity,3837.80648
S5SD GR Equity,3760.14401
512480 CH Equity,3809.74084
